Id,Name,Description,Longitude,Latitude,Status
101,MIDAS site at M5/8291A priority 1 on link 102020202; GPS Ref: 363164;185008; Southbound,M5/8291A,-2.53279203259531,51.5627381612544,Active
102,MIDAS site at A1M/9897A priority 1 on link 118013501; GPS Ref: 438364;467838; Northbound,A1M/9897A,-1.41476954180917,54.1050197824865,Active
103,MIDAS site at M5/7995A priority 1 on link 200130532; GPS Ref: 378947;209138; Southbound,M5/7995A,-2.30657017844141,51.7805116883516,Active
104,MIDAS site at M25/4087B priority 1 on link  200045584; GPS Ref: 555726;172144; Anti-clockwise,M25/4087B,0.238597016273229,51.4269111202944,Active
105,MIDAS site at M42/6536B priority 1 on link 126109002; GPS Ref: 418884;293878; Southbound,M42/6536B,-1.72297868553533,52.5424493178862,Active
106,MIDAS site at M25/4919A priority 1 on link 200045691; GPS Ref: 503670;175350; Clockwise,M25/4919A,-0.508905037305114,51.467633543573,Active
107,MIDAS site at M11/6349A priority 1 on link 200021668; GPS Ref: 549190;210481; Northbound,M11/6349A,0.160947832356396,51.7731301938751,Inactive
108,MIDAS site at M1/3554B priority 1 on link 107032501; GPS Ref: 454580;300924; Southbound,M1/3554B,-1.19552125249574,52.6033870930435,Inactive
109,MIDAS site at M2/8534A priority 1 on link 200009322; GPS Ref: 575407;161900; Eastbound,M2/8534A,0.516358405675755,51.3291445048432,Active
110,MIDAS site at M4/2188B priority 1 on link 125039801; GPS Ref: 513275;178026; Eastbound,M4/2188B,-0.369826643551931,51.4898454617231,Active
111,MIDAS site at M1/3916A priority 5 on link 199017201; GPS Ref: 447273;333581; Northbound,M1/3916A,-1.29871011353994,52.8976210156665,Inactive
112,MIDAS site at M6/7200B priority 1 on link 117005501; GPS Ref: 354921;401886; Southbound,M6/7200B,-2.68123333060533,53.5117267154183,Inactive
113,MIDAS site at M4/3689A priority 1 on link 102004001; GPS Ref: 376295;178134; Westbound,M4/3689A,-2.34289978253983,51.501638559534904,Active
114,MIDAS site at M1/3844A priority 1 on link 107031401; GPS Ref: 447463;326776; Northbound,M1/3844A,-1.29687438028578,52.8364364574098,Inactive
115,MIDAS site at A1M/9513A priority 1 on link 120006301; GPS Ref: 428279;554033; Northbound,A1M/9513A,-1.560786107074,54.8802681834031,Active
116,MIDAS site at M25/5295J priority 1 on link 199001501; GPS Ref: 518829;203302; Clockwise,M25/5295J,-0.281309157518345,51.7158743457545,Active
117,MIDAS site at M4/2646A priority 1 on link 105004401; GPS Ref: 472772;168722; Westbound,M4/2646A,-0.954985193468347,51.4128586723485,Inactive
118,MIDAS site at M60/9200B priority 1 on link 115023101; GPS Ref: 375030;399277; Anti-clockwise,M60/9200B,-2.37780138324264,53.4896216973523,Inactive
119,MIDAS site at M1/4037B priority 1 on link 107033101; GPS Ref: 451653;344314; Southbound,M1/4037B,-1.23190329827427,52.9936921282007,Active
